Title,Address,City,State,Country
From Here to Eternity,"Waialae Golf Course - 4997 Kahala Avenue,  Honolulu", O'ahu, Hawaii, USA
From Here to Eternity,"Waikiki Beach,  Honolulu", O'ahu, Hawaii, USA
The Greatest Show on Earth,,Sarasota, Florida, USA
The Greatest Show on Earth,"Paramount Studios - 5555 Melrose Avenue, Hollywood", Los Angeles, California, USA
The Greatest Show on Earth,,Sarasota Springs, Florida, USA
The Greatest Show on Earth,,Washington, District of Columbia, USA
The Greatest Show on Earth,,Cedar City, Utah, USA
The Greatest Show on Earth,,Philadelphia, Pennsylvania, USA
An American in Paris,,Paris,, France
An American in Paris,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
All About Eve,,San Francisco, California, USA
All About Eve,"21 Club - 21 West 52nd Street,  Manhattan", New York City, New York, USA
All About Eve,"John Golden Theater - 252 West 45th Street,  Manhattan", New York City, New York, USA
All About Eve,Shubert Theater - 247 College Street, New Haven, Connecticut, USA
All About Eve,"Stage 11,  20th Century Fox Studios - 10201 Pico Blvd.,  Century City", Los Angeles, California, USA
All About Eve,"242 West 45th Street, Manhattan", New York City, New York, USA
All the King's Men,,Northern California, California, USA
All the King's Men,,Suisun, California, USA
All the King's Men,,Fairfield, California, USA
All the King's Men,,San Joaquin-Sacramento River Delta, California, USA
All the King's Men,,Stockton, California, USA
All the King's Men,University of the Pacific, Stockton, California, USA
Hamlet,Pinewood Studios, Iver Heath, Buckinghamshire, UK
Hamlet,Denham Studios, Denham, Buckinghamshire, UK
Gentleman's Agreement,,Darien, Connecticut, USA
Gentleman's Agreement,"NBC Building,  Rockefeller Center,  Manhattan", New York City, New York, USA
Gentleman's Agreement,"Rockefeller Plaza, Manhattan", New York City, New York, USA
Gentleman's Agreement,"Stage 16,  20th Century Fox Studios - 10201 Pico Blvd.,  Century City", Los Angeles, California, USA
Gentleman's Agreement,"Stage 6,  20th Century Fox Studios - 10201 Pico Blvd.,  Century City", Los Angeles, California, USA
The Best Years of Our Lives,Ontario International Airport - 2900 E. Airport Drive, Ontario, California, USA
The Best Years of Our Lives,Walnut Hills High School - 3250 Victory Parkway, Cincinnati, Ohio, USA
The Best Years of Our Lives,Long Beach Airport - 4101 E. Donald Douglas Drive, Long Beach, California, USA
