Title,Address,City,State,Country
Rocky,1124 Jackson street, Philadelphia ,Pennsylvania, USA
Rocky,South 11th street & Cantrell st, Philadelphia, Pennsylvania, USA
Rocky,Ice Capades Chalet - 500 Broadway, Santa Monica, California, USA
One Flew Over the Cuckoo's Nest,Oregon State Mental Hospital - 2600 Center Street NE, Salem, Oregon, USA
One Flew Over the Cuckoo's Nest,,Depoe Bay, Oregon, USA
One Flew Over the Cuckoo's Nest,,Fort Bragg, California, USA
One Flew Over the Cuckoo's Nest,,Salem, Oregon, USA
The Godfather: Part II,Kaiser Estate, Lake Tahoe, California, USA
The Godfather: Part II,El Embajador Hotel, Santo Domingo,, Dominican Republic
The Godfather: Part II,Trieste, Friuli-Venezia Giulia,, Italy
The Godfather: Part II,Forza d'Agrò, Messina, Sicily, Italy
The Godfather: Part II,,Miami, Florida, USA
The Godfather: Part II,,New York City, New York, USA
The Godfather: Part II,2045 N. Hibiscus Drive, North Miami, Florida, USA
The Godfather: Part II,"6th Street,  Manhattan", New York City, New York, USA
The Godfather: Part II,"East Village,  Manhattan", New York City, New York, USA
The Godfather: Part II,"Greenwich Village,  Manhattan", New York City, New York, USA
The Godfather: Part II,,Lake Tahoe, California, USA
The Godfather: Part II,"Vazak's Bar - 108 Avenue B,  East Village, Manhattan", New York City, New York, USA
The Godfather: Part II,"Tomkin's Square, Greenwich Village, Manhattan", New York City, New York, USA
The Godfather: Part II,Riva Nazario Sauro, Trieste, Friuli-Venezia Giulia, Italy
The Godfather: Part II,Hotel Washington - 515 15th Street, Washington, District of Columbia, USA
The Godfather: Part II,,Las Vegas, Nevada, USA
The Godfather: Part II,,Los Angeles, California, USA
The Sting,Hugus Alley, Pasadena, California, USA
The Sting,Union Station - Canal St. & Jackson Blvd. Near West Side, Chicago, Illinois, USA
The Sting,Miller Alley, Pasadena, California, USA
The Sting,Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA
The Sting,"LaSalle Street Station - 141 W. Van Buren Street,  Downtown", Chicago, Illinois, USA
The Sting,"Biltmore Hotel - 506 S. Grand Avenue,  Downtown", Los Angeles, California, USA
The Sting,"Stage 28, Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Sting,"Stage 32, Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Sting,"Penn Central Freight Yards,  Near West Side", Chicago, Illinois, USA
The Sting,"Brownstone Street,  Backlot,  Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Sting,"New York Street,  Backlot,  Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Sting,Santa Monica Pier, Santa Monica, California, USA
The Sting,"Stage 27,  Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Sting,"Winston St. & Werdin Pl.,  Downtown", Los Angeles, California, USA
The Godfather,Forza d'Agrò, Messina, Sicily, Italy
The Godfather,110 Longfellow Road, Staten Island, New York, USA
The Godfather,,Savoca, Sicily, Italy
The Godfather,Jack Dempsey's Restaurant - Broadway & 49th Street  Manhattan, New York City, New York, USA
The Godfather,Old St Patrick's Cathedral - 264 Mulberry Street  Little Italy, New York City, New York, USA
The Godfather,"Castello Degli Schiavi, Fiumefreddo di Sicilia", Catania, Sicily, Italy
The Godfather,"Mitchell Field,  Garden City", Long Island, New York, USA
The Godfather,,Ross, California, USA
The Godfather,Beverly House - 1011 N. Beverly Drive, Beverly Hills, California, USA
The Godfather,"3531 White Plains Road,  Bronx", New York City, New York, USA
The Godfather,"5th Avenue,  Manhattan", New York City, New York, USA
The Godfather,Federal Reserve Bank - 33 Liberty Street, New York City, New York, USA
The Godfather,"Fieldstone Mansion,  Riverdale, Bronx", New York City, New York, USA
The Godfather,"Mott Street, Manhattan", New York City, New York, USA
The Godfather,Sands Point, Long Island, New York, USA
The Godfather,"St Regis-Sheraton Hotel - 2 East 55th Street,  Fifth Avenue, Manhattan", New York City, New York, USA
The Godfather,Staten Island, New York City, New York, USA
The Godfather,"Woodside, Queens", New York City, New York, USA
The Godfather,"Little Italy, Manhattan", New York City, New York, USA
The Godfather,"NY Eye and Ear Infirmary, 2nd Avenue & East 13th Street", New York City, New York, USA
The Godfather,"Mount Loretto, Staten Island", New York City, New York, USA
The Godfather,"120 Longfellow Road, Emerson Hill, Staten Island", New York City, New York, USA
The Godfather,"59th Street Bridge, Manhattan", New York City, New York, USA
The Godfather,"Edison Hotel - 228 West 47th Street, Manhattan", New York City, New York, USA
The Godfather,"Calvary Cemetery,  Woodside,  Queens", New York City, New York, USA
The Godfather,"Filmways Studios - 246 East 127th Street,  East Harlem,  Manhattan", New York City, New York, USA
The Godfather,"First United Methodist Church - 6817 Franklin Avenue,  Hollywood", Los Angeles, California, USA
The Godfather,,Jersey City, New Jersey, USA
The Godfather,,Las Vegas, Nevada, USA
The Godfather,Long Beach, Long Island, New York, USA
The Godfather,New York County Courthouse - 60 Centre Street, New York City, New York, USA
The Godfather,"Queensboro Bridge,  Manhattan", New York City, New York, USA
The Godfather,"Radio City Music Hall - 1260 6th Avenue,  Rockefeller Center,  Manhattan", New York City, New York, USA
The Godfather,"Riverdale,  Bronx", New York City, New York, USA
The Godfather,Liberty State Park - Morris Pesin Drive, Jersey City, New Jersey, USA
The Godfather,Hollywood, Los Angeles, California, USA
The French Connection,,Marseille, Bouches-du-Rhône, France
