Title,Address,City,State,Country
Patton,,,Timgad, Algeria
Patton,,Almería, Andalucía, Spain
Patton,,,,Greece
Patton,La Granja, Segovia, Castilla y León, Spain
Patton,,Sierra de Urbasa, Navarra, Spain
Patton,,,Casablanca, Morocco
Patton,,,Crete, Greece
Patton,,,Rabat, Morocco
Patton,,Volubilis, Meknès, Morocco
Midnight Cowboy,Holy Name Cemetery, Jersey City, New Jersey, USA
Midnight Cowboy,"114 East 72nd Street,  Manhattan", New York City, New York, USA
Midnight Cowboy,,Big Spring, Texas, USA
Midnight Cowboy,"Filmways Studios - 246 East 127th Street,  East Harlem,  Manhattan", New York City, New York, USA
Midnight Cowboy,,Miami, Florida, USA
Midnight Cowboy,,Stanton, Texas, USA
Midnight Cowboy,,Sweetwater, Texas, USA
Midnight Cowboy,"Times Square,  Manhattan", New York City, New York, USA
Midnight Cowboy,,,Florida, USA
Midnight Cowboy,,Hollywood, Florida, USA
Midnight Cowboy,Lincoln Tunnel, New York City, New York, USA
Midnight Cowboy,Mercer Street, New York City, New York, USA
Midnight Cowboy,,Miami Beach, Florida, USA
Midnight Cowboy,,,New Jersey, USA
Oliver!,Shepperton Studios, Shepperton, Surrey, UK
In the Heat of the Night,,Sparta, Illinois, USA
In the Heat of the Night,,Chester, Illinois, USA
In the Heat of the Night,,Freeburg, Illinois, USA
In the Heat of the Night,,Belleville, Illinois, USA
In the Heat of the Night,,Dyersburg, Tennessee, USA
In the Heat of the Night,"Raleigh Studios - 5300 Melrose Avenue,  Hollywood", Los Angeles, California, USA
A Man for All Seasons,Hampton Court Palace, East Molesey, Surrey, UK
A Man for All Seasons,"Studley Priory,  Horton Hill", Horton-cum-Studley, Oxfordshire, UK
A Man for All Seasons,Beaulieu River,, Hampshire, UK
A Man for All Seasons,Beaulieu, Brockenhurst, Hampshire, UK
A Man for All Seasons,Beauline Abbey,, Hampshire, UK
A Man for All Seasons,Brockenhurst,, Hampshire, UK
