The Departed	Brooklyn Heights Brooklyn	 New York	 New York	 USA
The Departed	Erich Lindemann Mental Health Center - 25 Staniford Street	 Boston	 Massachusetts	 USA
The Departed	Gerritsen Beach Brooklyn	 New York	 New York	 USA
The Departed	Sunset Park  Brooklyn	 New York	 New York	 USA
The Departed	White Plains	 New York	 New York	 USA
Crash	Port of Los Angeles	 Los Angeles	 California	 USA
Crash	"3500 S. Gaffey Street,  San Pedro"	 Los Angeles	 California	 USA
Crash	5100 Costello Avenue  Sherman Oaks	 Los Angeles	 California	 USA
Crash	Broadway & Ord Street	 Los Angeles	 California	 USA
Crash	"Broxton Avenue,  Westwood Village,  Westwood"	 Los Angeles	 California	 USA
Crash	Carney's Restaurant - 12601 Ventura Boulevard	 Los Angeles	 California	 USA
Crash	Westwood	 Los Angeles	 California	 USA
Crash	San Fernando Valley	 Los Angeles	 California	 USA
Crash		Santa Monica	 California	 USA
Crash	Ventura Ct.	 Los Angeles	 California	 USA
Crash	Wilmington	 Los Angeles	 California	 USA
Million Dollar Baby	Hollywood Athletic Club - 6525 W. Sunset Blvd.	 Los Angeles	 California	 USA
Million Dollar Baby		Las Vegas	 Nevada	 USA
Million Dollar Baby	Quality Coffee Shop - 1238 West 7th Street	 Los Angeles	 California	 USA
Million Dollar Baby	"Saint Mark Catholic Church, Venice"	 Los Angeles	 California	 USA
Million Dollar Baby	Sunset Blvd. Hollywood	 Los Angeles	 California	 USA
Million Dollar Baby	Warner Brothers Burbank Studios - 4000 Warner Boulevard	 Burbank	 California	 USA
The Lord of the Rings: The Return of the King	Hinuera Valley	 Matamata	 Waikato	 New Zealand
The Lord of the Rings: The Return of the King	Mt. Potts Station	 Erewhon	 Canterbury	 New Zealand
The Lord of the Rings: The Return of the King	"Camperdown Studios, Camperdown Road,  Miramar"	 Wellington		 New Zealand
The Lord of the Rings: The Return of the King	Fernside	 Featherston	 Wairarapa	 New Zealand
The Lord of the Rings: The Return of the King	Queenstown	 Otago		 New Zealand
The Lord of the Rings: The Return of the King	Tongariro National Park	 Central Plateau		 New Zealand
The Lord of the Rings: The Return of the King	Twizel	 Canterbury		 New Zealand
The Lord of the Rings: The Return of the King	Paradise	 Glenorchy	 Otago	 New Zealand
The Lord of the Rings: The Return of the King	Upper Hutt	 Wellington		 New Zealand
The Lord of the Rings: The Return of the King	Milford Sound	 Fiordland National Park	 Southland	 New Zealand
Chicago	"Ontario Legislature Building,  Queen's Park"	 Toronto	 Ontario	 Canada
Chicago	Parkwood Estate	 Oshawa	 Ontario	 Canada
Chicago	Distillery District	 Toronto	 Ontario	 Canada
Chicago	Danforth Music Hall - 147 Danforth Ave.	 Toronto	 Ontario	 Canada
Chicago	Osgoode Hall	 Toronto	 Ontario	 Canada
Chicago	Casa Loma	 Toronto	 Ontario	 Canada
Chicago	Canada Life Building	 Toronto	 Ontario	 Canada
Chicago	133 Church St	 Toronto	 Ontario	 Canada
Chicago	Elgin Theatre	 Toronto	 Ontario	 Canada
Chicago	Parkwood Estate	 Oshawa	 Ontario	 Canada
Chicago		Chicago	 Illinois	 USA
A Beautiful Mind		Princeton	 New Jersey	 USA
A Beautiful Mind		Jersey City	 New Jersey	 USA
A Beautiful Mind		Newark	 New Jersey	 USA
A Beautiful Mind		Bayonne	 New Jersey	 USA
A Beautiful Mind		Belleville	 New Jersey	 USA
A Beautiful Mind	Bronx Community College - University Avenue at West 181 Street	 New York City	 New York	 USA
A Beautiful Mind		East Orange	 New Jersey	 USA
A Beautiful Mind	Fairleigh Dickinson University - 285 Madison Avenue	 Madison	 New Jersey	 USA
A Beautiful Mind	"Manhattan College - Manhattan College Parkway, Riverdale"	 New York City	 New York	 USA
A Beautiful Mind	Fordham University - 441 E. Fordham Road. Rose Hill	 New York City	 New York	 USA
A Beautiful Mind	Yonkers	 New York City	 New York	 USA
Gladiator				Malta
Gladiator	Bourne Woods	 Farnham	 Surrey	 UK
Gladiator		Ouarzazate		 Morocco
Gladiator	Val d'Orcia	 Siena	 Tuscany	 Italy
Gladiator	Alabama Hills	 Lone Pine	 California	 USA
Gladiator		Ait Benhaddou		 Morocco
Gladiator	Shepperton Studios	 Shepperton	 Surrey	 UK
Gladiator	Atlas Corporation Studios	 Ouarzazate		 Morocco
American Beauty		Sacramento	 California	 USA
American Beauty	11388 Homedale Street  Brentwood	 Los Angeles	 California	 USA
American Beauty	20105 Saticoy Rd.  Canoga Park	 Los Angeles	 California	 USA
American Beauty	Los Angeles Police Academy - 1880 N. Academy Drive  Elysian Park	 Los Angeles	 California	 USA
American Beauty	South Bay	 Los Angeles	 California	 USA
American Beauty	South High School - 4801 Pacific Coast Highway	 Torrance	 California	 USA
American Beauty	Alameda Avenue	 Burbank	 California	 USA
American Beauty	Chatsworth	 Los Angeles	 California	 USA
American Beauty	330 S. Windsor Blvd. Hancock Park	 Los Angeles	 California	 USA
American Beauty	Long Beach Polytechnic High School - 1600 Atlantic Avenue	 Long Beach	 California	 USA
American Beauty	Blondie Street  Columbia/Warner Bros. Ranch - 411 North Hollywood Way	 Burbank	 California	 USA
American Beauty	Warner Brothers Burbank Studios - 4000 Warner Boulevard	 Burbank	 California	 USA
Shakespeare in Love	Broughton Castle	 Banbury	 Oxfordshire	 UK
Shakespeare in Love	Barnes	 London	 UK	 UK
Shakespeare in Love	Holkham Hall and Estate	 Norfolk	 UK	 UK
Shakespeare in Love	Eton College	 Eton	 Berkshire	 UK
Shakespeare in Love	Hatfield House	 Hatfield	 Hertfordshire	 UK
Shakespeare in Love	Shepperton Studios	 Shepperton	 Surrey	 UK
Shakespeare in Love	Smithfield	 Holborn	 London	 UK
Shakespeare in Love	Spitalfields	 London	 UK	 UK
Shakespeare in Love	Whitehall	 Westminster	 London	 UK
Titanic	Titanic wreck	 Titanic Canyon	 North Atlantic	 Atlantic Ocean
Titanic	Fox Baja Studios	 Rosarito	 Baja California Norte	 Mexico
Titanic	Rosarito	 Baja California Norte		 Mexico
Titanic	Belmont Olympic Pool - 4000 E. Olympic Plaza	 Long Beach	 California	 USA
Titanic		Halifax	 Nova Scotia	 Canada
Titanic		Vancouver	 British Columbia	 Canada
Titanic	"S.S. Lane Victory, Pier 94, San Pedro"	 Los Angeles	 California	 USA
Titanic		Santa Clarita	 California	 USA
Titanic	S.S. Jeremiah O'Brien	 San Francisco	 California	 USA
The English Patient	"Grand Hotel des Bains, Lungomare Marconi 41,  Lido"	 Venice	 Veneto	 Italy
The English Patient		Mahdia		 Tunisia
The English Patient	Sant'Anna in Camprena  Pienza	 Siena	 Tuscany	 Italy
The English Patient	Cinecittà Studios  Cinecittà	 Rome	 Lazio	 Italy
The English Patient	Le Grand Hotel	 Rome	 Lazio	 Italy
The English Patient		Oung Jmel	 Nefta	 Tunisia
The English Patient	Pienza	 Siena	 Tuscany	 Italy
The English Patient	Ripafratta	 Pisa	 Tuscany	 Italy
The English Patient		Rome	 Lazio	 Italy
The English Patient		Sidi Bouhlel	 Tozeur	 Tunisia
The English Patient		Trieste	 Friuli-Venezia Giulia	 Italy
The English Patient			Tunis	 Tunisia
The English Patient	Viareggio	 Lucca	 Tuscany	 Italy
Braveheart	Fort William	 Glen Coe	 Highland	 UK
Braveheart			Arizona	 USA
Braveheart	Aonach Eagach	 Highland		 UK
Braveheart	Glen Nevis	 Fort William	 Highland	 UK
Braveheart	Glen Coe		 Highland	 UK
Braveheart	Loch Leven	 Onich	 Highland	 UK
Braveheart	Ardmore Studios Herbert Road	 Bray	 County Wicklow	 Ireland
Braveheart	Coronation Plantation		 County Wicklow	 Ireland
Braveheart	Dunsoghly Castle		 County Dublin	 Ireland
Braveheart	Trim Castle	 Trim	 County Meath	 Ireland
Braveheart	Bective Abbey		 County Meath	 Ireland
Braveheart	King John's Castle	 Trim	 County Meath	 Ireland
Braveheart	Sally's Gap		 County Wicklow	 Ireland
Braveheart	Ballymore Eustace		 County Kildare	 Ireland
Braveheart	Curragh Plains		 County Kildare	 Ireland
Braveheart	Dunsany Castle		 County Meath	 Ireland
Braveheart	Luggala Estate		 County Wicklow	 Ireland
Braveheart	St Margarets	 Dublin	 County Dublin	 Ireland
Braveheart	The Curragh		 County Kildare	 Ireland
Braveheart	Trim		 County Meath	 Ireland
Forrest Gump	Chippewa Square	 Savannah	 Georgia	 USA
Forrest Gump	Beaufort		 South Carolina	 USA
Forrest Gump	Biltmore Estate - 1 Approach Road	 Asheville	 North Carolina	 USA
Forrest Gump	Monument Valley		 Utah	 USA
Forrest Gump	Grandfather Mountain	 Linville	 North Carolina	 USA
Forrest Gump	Bluff Plantation - 3547 Combahee Road	 Yemassee	 South Carolina	 USA
Forrest Gump		Fripp Island	 South Carolina	 USA
Forrest Gump		Port Clyde	 Maine	 USA
Forrest Gump		Pritchardville	 South Carolina	 USA
Forrest Gump	Valley of the Gods	 Mexican Hat	 Utah	 USA
Forrest Gump		Flagstaff	 Arizona	 USA
Forrest Gump		Pemaquid	 Maine	 USA
Forrest Gump		Twin Arrows	 Arizona	 USA
Forrest Gump		Blackfeet Indian Reservation	 Montana	 USA
Forrest Gump		Orange	 California	 USA
Forrest Gump	Santa Monica Pier	 Santa Monica	 California	 USA
Forrest Gump		Varnville	 South Carolina	 USA
Forrest Gump	Glacier National Park		 Montana	 USA
Forrest Gump	Lincoln Memorial  National Mall	 Washington	 District of Columbia	 USA
Forrest Gump	University of Southern California	 Los Angeles	 California	 USA
Forrest Gump	East Los Angeles College - 1301 Avenida Cesar Chavez	 Monterey Park	 California	 USA
Forrest Gump	Paramount Studios - 5555 Melrose Avenue  Hollywood	 Los Angeles	 California	 USA
Forrest Gump	Grauman's Chinese Theater - 6925 Hollywood Blvd.  Hollywood	 Los Angeles	 California	 USA
Forrest Gump	The Ebell of Los Angeles - 743 South Lucerne Bouelvard	 Los Angeles	 California	 USA
Forrest Gump	Marks Hall - 612 W. 35th Place University of Southern California	 Los Angeles	 California	 USA
Forrest Gump	Ambassador Hotel - 3400 Wilshire Boulevard	 Los Angeles	 California	 USA
