Title,Address,City,State,Country,lat,long
The Lord of the Rings: The Return of the King,Fernside, Featherston, Wairarapa, New Zealand,-41.103116,175.365211
The Lord of the Rings: The Return of the King,Tongariro National Park, Central Plateau,, New Zealand,-39.272021,175.579882
Shakespeare in Love,Holkham Hall and Estate, Norfolk, UK, UK,52.949864,0.80372
Titanic,Titanic wreck, Titanic Canyon, North Atlantic, Atlantic Ocean,41.72556,-49.946944
Out of Africa,Shaba National Game Reserve,,, Kenya,0.638694,37.824477
Chariots of Fire,Cafe Royal, Edinburgh, UK, UK,55.953792,-3.190732
Lawrence of Arabia,,Jebel Tubeiq,, Jordan,29.538823,37.499524
From Here to Eternity,Halona Cove, O'ahu, Hawaii, USA,21.281547,-157.677582
