Title,Address,City,State,Country
Mutiny on the Bounty,Monterey Harbor, Monterey, California, USA
Mutiny on the Bounty,"Sailing Ship Restaurant,  Pier 42,  The Embarcadero", San Francisco, California, USA
Mutiny on the Bounty,,San Miguel Island, California, USA
Mutiny on the Bounty,Santa Barbara Channel, Channel Islands, California, USA
Mutiny on the Bounty,Santa Catalina Island, Channel Islands, California, USA
Mutiny on the Bounty,"South Beach Harbor,  South Beach", San Francisco, California, USA
Mutiny on the Bounty,,,Tahiti, French Polynesia
Mutiny on the Bounty,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
Mutiny on the Bounty,,,South Pacific, Pacific Ocean
It Happened One Night,Busch Gardens - S. Grove Avenue, Pasadena, California, USA
It Happened One Night,"Columbia/Sunset Gower Studios - 1438 N. Gower Street,  Hollywood", Los Angeles, California, USA
It Happened One Night,"Franklin Canyon Reservoir,  Santa Monica Mountains", Los Angeles, California, USA
It Happened One Night,Ventura Blvd., Thousand Oaks, California, USA
It Happened One Night,,Santa Anita Ave in Arcadia, California, USA
Cavalcade,"Fox Movietone City,  Westwood", Los Angeles, California, USA
Grand Hotel,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
Cimarron,Venice, Los Angeles, California, USA
Cimarron,,Inglewood, California, USA
Cimarron,,Bakersfield, California, USA
Cimarron,Jasmin Quinn Ranch, Los Angeles, California, USA
Cimarron,"RKO Encino Ranch - Balboa Boulevard & Burbank Boulevard,  Encino", Los Angeles, California, USA
All Quiet on the Western Front,,Sherwood Forest, California, USA
All Quiet on the Western Front,,Malibu Lake, California, USA
All Quiet on the Western Front,Irvine Ranch - 8471 N. Coast Highway, Laguna Beach, California, USA
All Quiet on the Western Front,Balboa, Newport Beach, California, USA
All Quiet on the Western Front,Universal Studios - 100 Universal City Plaza, Universal City, California, USA
All Quiet on the Western Front,RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA
All Quiet on the Western Front,"Little Europe,  Backlot,  Universal Studios - 100 Universal City Plaza", Universal City, California, USA
The Broadway Melody,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
Sunrise,"Big Bear Lake,  Big Bear Valley", San Bernardino National Forest, California, USA
Sunrise,Lake Arrowhead, San Bernardino National Forest, California, USA
Sunrise,,,,Mexico
Sunrise,,Columbia River, Oregon, USA
Sunrise,"William Fox Studios - 1401 N. Western Avenue,  Hollywood", Los Angeles, California, USA
Sunrise,Westwood, Los Angeles, California, USA
Wings,,Tucson, Arizona, USA
Wings,,Bexar County, Texas, USA
Wings,Camp Bullis - Harry Wurzbach Rd, San Antonio, Texas, USA
Wings,Camp Stanley, San Antonio, Texas, USA
Wings,Fort Sam Houston, San Antonio, Texas, USA
Wings,Kelly Field, San Antonio, Texas, USA
