Title,Address,City,State,Country
Chariots of Fire,Eton College, Eton, Berkshire, UK
Chariots of Fire,Goldenacre, Inverleith, Edinburgh, UK
Chariots of Fire,Hall Barn, Beaconsfield, Buckinghamshire, UK
Chariots of Fire,Holyrood Park, Edinburgh, UK, UK
Chariots of Fire,Inverleith, Edinburgh, UK, UK
Chariots of Fire,"King's College Chapel, King's College, Cambridge University", Cambridge, Cambridgeshire, UK
Chariots of Fire,Liverpool Town Hall, Liverpool, Merseyside, UK
Chariots of Fire,Town Hall, Liverpool, Merseyside, UK
Chariots of Fire,York Station, York, North Yorkshire, UK
Chariots of Fire,Ruskin Drive Sports Ground, St.Helens, Merseyside, UK
Ordinary People,Lake Forest High School - 1285 N. McKinley Road, Lake Forest, Illinois, USA
Ordinary People,,Northbrook, Illinois, USA
Ordinary People,Walker Brothers Original Pancake House - 153 Green Bay Road, Wilmette, Illinois, USA
Ordinary People,,Chicago, Illinois, USA
Ordinary People,,Fort Sheridan, Illinois, USA
Ordinary People,,Highland Park, Illinois, USA
Ordinary People,,Lake Bluff, Illinois, USA
Ordinary People,,Lake Forest, Illinois, USA
Ordinary People,"Paramount Studios - 5555 Melrose Avenue,  Hollywood", Los Angeles, California, USA
Ordinary People,Apple Valley,, California, USA
Kramer vs. Kramer,"Chrysler Building - 405 Lexington Avenue,  Manhattan", New York City, New York, USA
Kramer vs. Kramer,"Central Park,  Manhattan", New York City, New York, USA
Kramer vs. Kramer,"Federal Hall,  Wall Street,  Manhattan", New York City, New York, USA
Kramer vs. Kramer,"Financial District,  Manhattan", New York City, New York, USA
Kramer vs. Kramer,"Tweed Courthouse - 52 Chambers Street,  Manhattan", New York City, New York, USA
Kramer vs. Kramer,"Wall Street,  Manhattan", New York City, New York, USA
The Deer Hunter,,Bangkok,, Thailand
The Deer Hunter,,Clairton, Pennsylvania, USA
The Deer Hunter,,Follansbee, West Virginia, USA
The Deer Hunter,,Mingo Junction, Ohio, USA
The Deer Hunter,,River Kwai,, Thailand
The Deer Hunter,Heather Meadows, Mount Baker, Washington, USA
The Deer Hunter,Bowladrome Lanes - 56 State Street, Struthers, Ohio, USA
The Deer Hunter,,Katchanburi,, Thailand
The Deer Hunter,McKeesport, Pennsylvania,, USA
The Deer Hunter,Mill Creek Park, Youngstown, Ohio, USA
The Deer Hunter,Nooksack Falls, Mount Baker, Washington, USA
The Deer Hunter,St. Theodosius Russian Orthodox Church - 733 Starkweather Avenue, Cleveland, Ohio, USA
The Deer Hunter,Whatcom County, Washington,, USA
The Deer Hunter,993 N. 7th Street, Steubenville, Ohio, USA
The Deer Hunter,Don Mueang International Airport, Don Mueang, Bangkok, Thailand
The Deer Hunter,Duquesne Heights,, Pennsylvania, USA
The Deer Hunter,Lake Chelan, Washington,, USA
The Deer Hunter,Lemko Hall - 2335 W. Eleventh Street, Cleveland, Ohio, USA
The Deer Hunter,Mount Baker, Washington,, USA
The Deer Hunter,Steubenville,, Ohio, USA
The Deer Hunter,Throng Wad Road, Bangkok,, Thailand
The Deer Hunter,US Steel Widowmaker Central Blast Furnace, Cleveland, Ohio, USA
The Deer Hunter,,Weirton, West Virginia, USA
The Deer Hunter,,Youngstown, Ohio, USA
The Deer Hunter,,Pittsburgh, Pennsylvania, USA
The Deer Hunter,,Cleveland, Ohio, USA
The Deer Hunter,Commercial Street, Mingo Junction, Ohio, USA
The Deer Hunter,Louis Stokes VA Medical Center - 10701 East Boulevard, Cleveland, Ohio, USA
The Deer Hunter,McKeesport and Versailles Cemetery - 1608 Fifth Avenue, McKeesport, Pennsylvania, USA
The Deer Hunter,Mingo Junction,, Ohio, USA
The Deer Hunter,St.Gabriel's College - 565 Samsen Road, Bangkok,, Thailand
The Deer Hunter,Starkweather Avenue, Cleveland, Ohio, USA
The Deer Hunter,,Struthers, Ohio, USA
Annie Hall,"Beekman Cinema - 1254 2nd Avenue,  Manhattan", New York City, New York, USA
Annie Hall,"Filmways Studios - 246 East 127th Street, East Harlem", New York City, New York, USA
Annie Hall,Sunset Blvd. Hollywood, Los Angeles, California, USA
Annie Hall,"Thalia Cinema - 250 West 95th Street, Upper West Side", New York City, New York, USA
Annie Hall,"2nd Avenue,  Manhattan", New York City, New York, USA
Annie Hall,3rd Avenue   Bronx, New York City, New York, USA
Annie Hall,"70th Street,  Manhattan", New York City, New York, USA
Annie Hall,"Astroland Park,  Coney Island, Brooklyn", New York City, New York, USA
Annie Hall,"Bethesda Fountain, Central Park", New York City, New York, USA
Annie Hall,Cajun Bistro - 8301 Sunset Blvd., West Hollywood, California, USA
Annie Hall,"Central Park,  Manhattan", New York City, New York, USA
Annie Hall,Long Island, New York, New York, USA
Annie Hall,New York Theater, New York City, New York, USA
Annie Hall,"Plaza Hotel - 750 Fifth Avenue,  Manhattan", New York City, New York, USA
Annie Hall,South Shore, Long Island, New York, USA
Annie Hall,The Hamptons, Long Island, New York, USA
Annie Hall,"Wall Street Tennis Club,  Wall Street", New York City, New York, USA
Annie Hall,W. Century Blvd. & Airport Blvd, Los Angeles, California, USA
Annie Hall,"5th Avenue,  Manhattan", New York City, New York, USA
Annie Hall,,Beverly Hills, California, USA
Annie Hall,,Palos Verdes Peninsula, California, USA
Annie Hall,"Steve's Famous Clam Bar - 515 Atlantic Avenue,  Brooklyn", New York City, New York, USA
Annie Hall,"Surf Avenue, ", New York City, New York, USA
Annie Hall,"Thunderbolt Rollercoaster,  Coney Island, Brooklyn", New York City, New York, USA
Annie Hall,"Upper West Side,  Manhattan", New York City, New York, USA
Annie Hall,"Wall Street,  Manhattan", New York City, New York, USA
Annie Hall,,West Hollywood, California, USA
Rocky,"1818 East Tusculum Street,  Kensington", North Philadelphia, Pennsylvania, USA
Rocky,Pat's King of Steaks - 1237 S. Passyunk Avenue, Philadelphia, Pennsylvania, USA
Rocky,Fairmount Park, Philadelphia, Pennsylvania, USA
Rocky,Resurrection Gym - 1114 S. Lorena Street, East Los Angeles, California, USA
Rocky,Shamrock Meats - 3461 E. Vernon Avenue, Vernon, California, USA
Rocky,"Main Street Gym - 318½ S Main St, Downtown", Los Angeles, California, USA
Rocky,Philadelphia Museum of Art - 2600 Benjamin Franklin Parkway, Philadelphia, Pennsylvania, USA
Rocky,2822-2824 Rosehill St, Philadelphia, Pensylvannia, USA
Rocky,Kensington, North Philadelphia, Pennsylvania, USA
Rocky,"Los Angeles Sports Arena - 3939 S. Figueroa Street,  Exposition Park", Los Angeles, California, USA
