Title,Address,City,State,Country
Ben-Hur,Canale Monterano, Rome, Lazio, Italy
Ben-Hur,,Frosinone, Lazio, Italy
Ben-Hur,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
Ben-Hur,Fogliano, Latina, Lazio, Italy
Ben-Hur,Arcinazzo Romano, Frosinone, Lazio, Italy
Ben-Hur,"Cinecittà Studios,  Cinecittà", Rome, Lazio, Italy
Gigi,Auberge de la Moutière - 14 Rue Moutière, Montfort-l'Amaury, Yvelines, France
Gigi,Bois de Boulogne, Paris 16, Paris, France
Gigi,Hollywood, Los Angeles, California, USA
Gigi,Jardin des Tuileries, Paris 1, Paris, France
Gigi,Jardin du Luxembourg, Paris 6, Paris, France
Gigi,Maxim's - 3 Rue Royale, Paris 8, Paris, France
Gigi,Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA
Gigi,Musée Jacquemart-André - 158 Boulevard Haussmann, Paris 8, Paris, France
Gigi,Palace De Glace, Paris,, France
Gigi,Parc Monceau, Paris 8, Paris, France
Gigi,Place Furstenberg, Paris 6, Paris, France
Gigi,Pont Alexandre III, Paris 7, Paris, France
Gigi,"Tour Eiffel,  Champ de Mars", Paris 7, Paris, France
Gigi,Venice Beach, Los Angeles, California, USA
The Bridge on the River Kwai,,Kelani River,, Sri Lanka
The Bridge on the River Kwai,Ambepussa,,, Sri Lanka
The Bridge on the River Kwai,Peradeniya Botanical Gardens,, Central Province, Sri Lanka
The Bridge on the River Kwai,,Colombo, Western Province, Sri Lanka
The Bridge on the River Kwai,Government Rest House, Kitulgala,, Sri Lanka
The Bridge on the River Kwai,,Kandy, Central Province, Sri Lanka
The Bridge on the River Kwai,,,Kitulgala, Sri Lanka
The Bridge on the River Kwai,,,Mahara, Sri Lanka
The Bridge on the River Kwai,Mount Lavinia Hotel - 100 Hotel Road, Mount Lavinia, Western Province, Sri Lanka
The Bridge on the River Kwai,Kalugamuwa, Gelioya, Kandy, Sri Lanka
Around the World in Eighty Days,,Chinchón, Madrid, Spain
Around the World in Eighty Days,Plaza Mayor, Chinchón, Madrid, Spain
Around the World in Eighty Days,,Hong Kong,, China
Around the World in Eighty Days,,Newport Beach, California, USA
Around the World in Eighty Days,Yokohama, Kanagawa, Honshu, Japan
Around the World in Eighty Days,,,Bangkok, Thailand
Around the World in Eighty Days,,Toledo, Castilla-La Mancha, Spain
Around the World in Eighty Days,,Chelsea, London, UK
Around the World in Eighty Days,,Durango, Colorado, USA
Around the World in Eighty Days,Durango-Silverton Railway Line, Colorado,, USA
Around the World in Eighty Days,Hyde Park,, London, UK
Around the World in Eighty Days,"Iverson Ranch - 1 Iverson Lane,  Chatsworth", Los Angeles, California, USA
Around the World in Eighty Days,,Lawton, Oklahoma, USA
Around the World in Eighty Days,Lower Grosvenor Place, Westminster, London, UK
Around the World in Eighty Days,,,New Mexico, USA
Around the World in Eighty Days,,,,Pakistan
Around the World in Eighty Days,"Rotten Row, Hyde Park", Hyde Park, London, UK
Around the World in Eighty Days,"Rue de Castiglione,  Paris 1", Paris,, France
Around the World in Eighty Days,"Rue de Rivoli, Paris 1", Paris,, France
Around the World in Eighty Days,St. James's, London,, UK
Around the World in Eighty Days,"The Reform Club,  Pall Mall,  St. James's",, London, UK
Around the World in Eighty Days,,,,Persian Gulf
Around the World in Eighty Days,"The Grenadier Pub,  18 Wilton Row", London,, UK
Around the World in Eighty Days,5 Lower Grosvenor Place, Westminster, London, UK
Around the World in Eighty Days,Alabama Hills, Lone Pine, California, USA
Around the World in Eighty Days,Alamogordo, New Mexico, USA,
Around the World in Eighty Days,Chatsworth, Los Angeles, California, USA
Around the World in Eighty Days,Denver & Rio Grande Western Railroad, Durango, Colorado, USA
Around the World in Eighty Days,Elstree Studios, Borehamwood, Hertfordshire, UK
Around the World in Eighty Days,Gare du Nord, Paris 10, Paris, France
