Title,Address,City,State,Country
Around the World in Eighty Days,"Little Europe,  Backlot,  Universal Studios - 100 Universal City Plaza", Universal City, California, USA
Around the World in Eighty Days,Pall Mall, St. James's, London, UK
Around the World in Eighty Days,,Paris,, France
Around the World in Eighty Days,Place Vendôme, Paris 1, Paris, France
Around the World in Eighty Days,"RKO Studios - 780 Gower Street,  Hollywood", Los Angeles, California, USA
Around the World in Eighty Days,,San Francisco, California, USA
Around the World in Eighty Days,,San Juan Mountains, Colorado, USA
Around the World in Eighty Days,,Silverton, Colorado, USA
Around the World in Eighty Days,,Tokyo,, Japan
Around the World in Eighty Days,Upper Cheyne Row, Chelsea, London, UK
Around the World in Eighty Days,Victoria Square, Westminster, London, UK
Around the World in Eighty Days,Wellington Barracks, Westminster, London, UK
Around the World in Eighty Days,,Westminster, London, UK
Around the World in Eighty Days,White Sands Missile Range, Alamogordo, New Mexico, USA
Around the World in Eighty Days,"20th Century Fox Studios - 10201 Pico Blvd.,  Century City", Los Angeles, California, USA
Around the World in Eighty Days,Hollywood, Los Angeles, California, USA
Around the World in Eighty Days,,Mount Fuji, Shizuoka, Japan
Around the World in Eighty Days,RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA
Around the World in Eighty Days,Universal Studios - 100 Universal City Plaza, Universal City, California, USA
Around the World in Eighty Days,Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA
Marty,"187th Street and Arthur Avenue,  The Bronx", New York City, New York, USA
Marty,"The Grand Councourse,  The Bronx", New York City, New York, USA
Marty,"IRT Third Avenue Elevated Train Line,  The Bronx", New York City, New York, USA
Marty,Samuel Goldwyn Studios - 7200 Santa Monica Boulevard, West Hollywood, California, USA
Marty,"Gun Hill Road & White Plains Road, Bronx", New York City, New York, USA
On the Waterfront,,Hoboken, New Jersey, USA
On the Waterfront,Hoboken Railway Station, Hoboken, New Jersey, USA
On the Waterfront,Our Lady Of Grace Church - 400 Willow Avenue, Hoboken, New Jersey, USA
On the Waterfront,St Peter and St Paul Church - 400 Hudson Street, Hoboken, New Jersey, USA
On the Waterfront,Court Street, Hoboken, New Jersey, USA
On the Waterfront,Hoboken Waterfront, Hoboken, New Jersey, USA
On the Waterfront,Hudson Street, Hoboken, New Jersey, USA
On the Waterfront,,New York City, New York, USA
On the Waterfront,"Stevens Park,  Hudson Street", Hoboken, New Jersey, USA
On the Waterfront,Willow Avenue, Hoboken, New Jersey, USA
From Here to Eternity,Honolulu, O'ahu, Hawaii, USA
From Here to Eternity,Diamond Head, O'ahu, Hawaii, USA
From Here to Eternity,Halona Cove, O'ahu, Hawaii, USA
From Here to Eternity,"Royal Hawaiian Hotel - 2259 Kalakava Avenue,  Honolulu", O'ahu, Hawaii, USA
From Here to Eternity,"Schofield Barracks,  Wilkina Drive", O'ahu, Hawaii, USA
